"2105","オーガニック能登そば 100gx2","金沢大地",0.7,4.9,0,2,7,"A",0.75,0
"14716","オーガニック玄米もち プレーン 300g","金沢大地",0.3,2.1,0,1,4,"C",0.51,0
"1238","オーガニック玄米もち 黒豆 300g","金沢大地",0.23,1.6,0,1,3,"C",0.35,0
"9352218001722","福まめ 85g","金沢大地",1.1,7.7,6,2,4,"A",0.58,11
"2115","有機きな粉 80g","金沢大地",0.1,0.7,0,1,2,"E",0,0
"1320","オーガニック米あめ 200g","金沢大地",0,0,0,0,0,"E",0,0
"14761","アナッサギフトボックス","金沢大地",0,0,0,0,0,"E",0,0
"9352218002569","オーガニックわたしのぬか床 タッパ付き 1kg","金沢大地",0,0,0,0,0,"E",0,0
"9352218002570","オーガニックわたしのぬか床 タッパなし 1kg","金沢大地",0,0,0,0,0,"E",0,0
"9352218002571","オーガニックわたしのぬか床 たしぬか 240g(補充用・塩なし)","金沢大地",0,0,0,0,0,"E",0,0
"9352218004438","ANASSA 4種お試しセット ","金沢大地",0,0,0,0,0,"E",0,0
"1237","オーガニック玄米もち よもぎ 300g","金沢大地",0,0,0,0,0,"E",0,0
"14146","ピュアシメトリー 40g","金沢大地",0,0,0,0,0,"E",0,0
"14145","ピュアハピネス 20g","金沢大地",0,0,0,0,0,"E",0,0
"14147","ピュアピース 30g","金沢大地",0,0,0,0,0,"E",0,0
"14149","ピュアディフェンス  30g","金沢大地",0,0,0,0,0,"E",0,0
"14155","ピュアハピネス 10袋","金沢大地",0,0,0,0,0,"E",0,0
"14157","ピュアピース 10袋","金沢大地",0,0,0,0,0,"E",0,0
"14156","ピュアシメトリー 10袋","金沢大地",0,0,0,0,0,"E",0,0
"14159","ピュアプロテクション  10袋","金沢大地",0,0,0,0,0,"E",0,0
"9352218001922","マウンテンティー 10袋","金沢大地",0,0,0,0,0,"E",0,0
"14163","カモミール 10袋","金沢大地",0,0,0,0,0,"E",0,0
"14161","ミント 10袋","金沢大地",0,0,0,0,0,"E",0,0
"9352218006697","かぶら寿司 1枚入","金沢大地",0.17,1.2,5,1,0,"B",0.28,0
"12033","六条大麦茶 500g","金沢大地",0,0,0,0,0,"E",0,0
"1894","奥能登海水塩  200g","金沢大地",0,0,0,0,0,"E",0,0
